"","time","BTC","ETH","XMR","ETC","ZEC","DASH","LTC","DOGE","NXT","BTCVOLFROM","BTCVOLTO","ETHVOLTO","ETHVOLFROM"
"310",1969-12-31 19:00:00,3571.54,259.58,57.36,18.24,232.26,246.94,54,0.002286,0.1334,10.91,39420.6,3099.73,12.05
"311",1969-12-31 19:00:00,3618.54,247.14,55.98,17.79,225.51,239.08,54,0.002243,0.1268,33.45,120879.23,276942.51,1096.86
"312",1969-12-31 19:00:00,3592.62,248.85,56.37,17.77,223.03,233.13,54.01,0.002227,0.1267,19.85,71896.57,103261.84,414.78
"313",1969-12-31 19:00:00,3582.51,254.74,57.36,18.12,226.74,241.5,52.86,0.002257,0.1296,42.23,152305.72,65090.88,259.65
"314",1969-12-31 19:00:00,3596.61,254.79,57.33,18.31,228.2,240.36,54,0.00223,0.1322,44.23,158705.48,58592.08,235.12
"315",1969-12-31 19:00:00,3545.2,251.86,57.08,18.62,230.26,240.01,54.82,0.002269,0.1331,32.07,113631.95,37131.59,147.53
"316",1969-12-31 19:00:00,3535.49,251.71,56.11,17.93,224.93,237.41,53.06,0.002227,0.1311,41.26,146567.65,43030.75,172.82
"317",1969-12-31 19:00:00,3561.33,252.68,56.48,17.93,223.97,236.69,53.02,0.002279,0.1329,19.53,69494.84,23860.66,94.87
"318",1969-12-31 19:00:00,3536.07,249.76,56.33,17.83,222.7,234.87,52.01,0.002298,0.1311,20.97,74975.88,32736.76,130.41
"319",1969-12-31 19:00:00,3564.76,250.69,57.29,18.19,225.51,238.48,56,0.002281,0.1312,22.56,79994.71,32715.36,130.43
"320",1969-12-31 19:00:00,3526.89,251.49,56.68,18.15,225.09,237.82,53.97,0.002257,0.1293,162.22,563267.95,50385.87,200.96
"321",1969-12-31 19:00:00,3543.76,249.66,54.68,17.85,223.26,235.31,52.13,0.002233,0.13,23.73,83556.86,26060.06,104.18
"322",1969-12-31 19:00:00,3570.89,249.49,55.49,17.81,223,237.32,53,0.00225,0.129,31.28,111773.87,62829.26,252.87
"323",1969-12-31 19:00:00,3560.17,246.13,55.97,17.77,224.22,235.65,52.09,0.002243,0.1276,15.99,56861.89,28126.94,113.25
"324",1969-12-31 19:00:00,3547.84,251.48,56.23,17.89,225.96,237.03,52.01,0.002235,0.1285,35.91,125231.78,17205.01,68.96
"325",1969-12-31 19:00:00,3509.25,245.85,55.55,17.61,222.8,232.59,52.01,0.002211,0.1269,28.38,99381.31,39288.32,159.75
"326",1969-12-31 19:00:00,3494.21,242.17,55.7,17.62,221.11,229.22,51,0.002201,0.1252,18.62,65344.87,302763.94,1247.91
"327",1969-12-31 19:00:00,3471.15,240,55.64,17.29,220,227.74,51.8,0.002152,0.1258,35.83,124627.96,76777.94,317.5
"328",1969-12-31 19:00:00,3443.01,243.77,55.16,17.29,218.18,217.43,50.5,0.002169,0.1263,31.42,108209.9,30606.15,127.34
"329",1969-12-31 19:00:00,3507.99,238.66,55.32,17.48,219.11,220.55,51.81,0.002175,0.1282,33.28,116464.7,61353.01,255.71
"330",1969-12-31 19:00:00,3515.41,241.36,55.3,17.37,217.57,222.17,52.16,0.002144,0.1268,14.29,50752.24,185660.48,777.61
"331",1969-12-31 19:00:00,3524.6,238.36,55.55,17.42,217.82,224.69,50.99,0.002185,0.1269,9.69,34354.37,24334.04,101.66
"332",1969-12-31 19:00:00,3516.36,235.02,54.89,17.31,217.84,223.89,50.75,0.002145,0.1266,23.56,82279.45,56678.81,239.18
"333",1969-12-31 19:00:00,3512.24,235.04,54.69,17.36,218.71,220.25,50.65,0.002142,0.1261,7.02,24890.8,47813.51,203.07
"334",1969-12-31 19:00:00,3508.22,232.97,55.04,17.38,218.53,220.74,50.65,0.00214,0.1259,23.67,82428.75,87779.02,378.52
"335",1969-12-31 19:00:00,3506.6,232.37,55.65,17.43,218.22,226.35,50.47,0.002139,0.1255,7.71,27145.03,97650.46,426.05
"336",1969-12-31 19:00:00,3472.13,237.5,55.59,17.49,218.05,226.21,50.83,0.002187,0.1268,9.56,33344.27,28492.82,121.07
"337",1969-12-31 19:00:00,3468.22,236.17,55.35,17.32,218.26,224.88,51.48,0.00215,0.1271,7.57,26426.4,8525.35,36.08
"338",1969-12-31 19:00:00,3472.62,231.81,55.46,17.41,216.97,222.11,51.88,0.002153,0.127,20.77,71853.34,36561.17,158.07
"339",1969-12-31 19:00:00,3575.74,239.99,57.07,17.85,224.09,231.21,51,0.002217,0.1287,19.7,69886.35,475355.56,1996.85
"340",1969-12-31 19:00:00,3501.15,240.36,55.84,17.44,221.1,224.91,51.43,0.002206,0.1261,13.51,47631.07,36309.08,148.6
"341",1969-12-31 19:00:00,3496.61,248.48,55.77,17.42,221.2,225.08,51.79,0.002203,0.1264,15.23,53323.03,77839.12,322.19
"342",1969-12-31 19:00:00,3522.91,251.93,56.54,17.69,228.67,228.92,52.28,0.002255,0.1286,26.19,91459.85,222974.22,871.52
"343",1969-12-31 19:00:00,3532.84,246.27,56.95,18.02,233.03,232.85,52.07,0.002226,0.1309,27.51,96899.55,412783.54,1597.99
"344",1969-12-31 19:00:00,3499.03,251.45,56.93,17.72,230.97,230.62,53.37,0.002204,0.13,62.51,216041.83,29186.98,116.79
"345",1969-12-31 19:00:00,3469.23,253.82,56.13,17.76,229.98,231.29,53.39,0.00222,0.1312,86.47,295425.86,21003.43,83.65
"346",1969-12-31 19:00:00,3480.97,258.77,56.46,18.21,231.35,237.79,53.95,0.002263,0.1327,15.06,52625.24,531228.88,2056.06
"347",1969-12-31 19:00:00,3499.79,258.05,56.42,18.45,239.63,239,53.85,0.002275,0.1337,13.49,47371.09,337986.51,1300.11
"348",1969-12-31 19:00:00,3465.16,264.81,56.07,18.26,232.2,237.02,52.8,0.002252,0.131,15.14,53171.98,665958.4,2505.68
"349",1969-12-31 19:00:00,3487.67,257.99,55.87,18.13,231.9,237.55,53.35,0.002232,0.1309,12.43,43101.29,39996.33,153
"350",1969-12-31 19:00:00,3469.74,254.78,55.52,17.9,231.54,236.22,53.55,0.002221,0.1314,5.67,19703.73,83147.65,326.76
"351",1969-12-31 19:00:00,3482.55,257.85,55.72,18.11,231.52,232.98,54.36,0.002229,0.1355,29.53,101392.9,10637.61,40.99
"352",1969-12-31 19:00:00,3466.29,262.73,55.22,17.95,231.83,231.2,53.9,0.002218,0.1346,6.22,21634.44,21966.94,84.28
"353",1969-12-31 19:00:00,3415.24,258.31,54.37,17.67,231.89,231.28,53.5,0.00222,0.1303,17.09,58569.43,38533.33,149.15
"354",1969-12-31 19:00:00,3447.54,256.79,55.3,17.83,230.43,231.98,54.22,0.002206,0.1298,9.31,32045.68,4602.11,17.98
"355",1969-12-31 19:00:00,3420.58,256.64,54.08,17.68,230.1,229.59,53.24,0.002223,0.1286,8.08,27868.56,8878.81,34.36
"356",1969-12-31 19:00:00,3446.77,253.67,54.18,17.74,233.76,229.45,51.83,0.002206,0.1304,6.29,21621.35,4258.04,16.76
